MSOA11CD,MSOA11NM,MSOA21CD,MSOA21NM,MSOA21HCLNM,LADCD,LADNM,CHNGIND,wght,2012,2014,2016,2018,2020,2012_idx,2014_idx,2016_idx,2018_idx,2020_idx,pc_change_2012_2020,income_quintiles_2012
E02000166,Camden 001,E02000166,Camden 001,Highgate West,E09000007,Camden,U,1,43814.14889268533,47215.87956296259,49130.08198109355,45083.60015990558,44800,100,107.76400034292386,112.13291419041053,102.89735462014688,102.2500747640433,2.2500747640433048,4
E02000167,Camden 002,E02000167,Camden 002,Hampstead Town,E09000007,Camden,U,1,59208.30931443963,52335.67373244045,63089.951090258895,50977.55706154461,57400,100,88.39244751019585,106.55590713662315,86.09865346908711,96.94585213565855,-3.054147864341445,5
E02000168,Camden 003,E02000168,Camden 003,Tufnell Park West,E09000007,Camden,U,1,47366.647451551704,47784.74558179347,45883.60079291557,46117.62768650892,47200,100,100.88268465837574,96.86900648783926,97.36308176271008,99.64817554013685,-0.3518244598631526,5
E02000169,Camden 004,E02000169,Camden 004,Frognal,E09000007,Camden,U,1,51511.22910356248,50629.07567594784,63955.679407106356,50770.75155622394,55300,100,98.28745412802888,124.15871358558444,98.56249295498304,107.35523295089749,7.355232950897488,5
E02000170,Camden 005,E02000170,Camden 005,Fortune Green,E09000007,Camden,U,1,52103.31219670687,47215.87956296259,48589.00178306388,46841.44695513126,46100,100,90.61972756109508,93.25511130583152,89.90109261823822,88.47806033128484,-11.521939668715163,5
E02000171,Camden 006,E02000171,Camden 006,Mansfield Road & Park Hill Road,E09000007,Camden,U,1,48550.813637840496,47784.74558179347,49562.946139517284,47358.46071843292,46500,100,98.4221313740251,102.08468700283106,97.54411341424306,95.77594383250027,-4.224056167499725,5
E02000172,Camden 007,E02000172,Camden 007,Kentish Town West,E09000007,Camden,U,1,33156.65321608619,35269.69316751422,34304.48455508074,36294.366183777194,36500,100,106.37289878944378,103.46184318276632,109.46329820215004,110.08348690118024,10.083486901180237,2
E02000173,Camden 008,E02000173,Camden 008,Fitzjohns & Royal Free,E09000007,Camden,U,1,58024.14312815084,50629.07567594784,55839.47643666139,52321.79284612895,51500,100,87.25518886876034,96.23490055395656,90.17245240584111,88.75615773637232,-11.243842263627684,5
E02000174,Camden 009,E02000174,Camden 009,Kentish Town East,E09000007,Camden,U,1,40261.65033381895,40389.4873369921,41879.60732749604,41774.7120747749,39800,100,100.31751555664812,104.01860574582071,103.75807183364516,98.85337453881971,-1.1466254611802924,4
E02000175,Camden 010,E02000175,Camden 010,West Hampstead,E09000007,Camden,U,1,49734.97982412929,47215.87956296259,45126.08851567403,52735.40385677029,49600,100,94.93495268305197,90.73309906879821,106.03282446931912,99.7286018319368,-0.2713981680632003,5
E02000176,Camden 011,E02000176,Camden 011,Belsize Park,E09000007,Camden,U,1,57432.06003500644,50629.07567594784,53458.72356533087,52321.79284612895,54900,100,88.15472689833518,93.08167517018593,91.10206531724155,95.59120805789819,-4.408791942101814,5
E02000177,Camden 012,E02000177,Camden 012,Chalk Farm,E09000007,Camden,U,1,37301.234868096966,38682.88928049947,37334.53366404686,36397.76893643753,37500,100,103.70404469795236,100.08926995598844,97.57791951163486,100.5328647499363,0.5328647499362944,3
E02000178,Camden 013,E02000178,Camden 013,Kilburn Grange,E09000007,Camden,U,1,39669.56724067455,36407.42520517597,38849.55821852992,41981.51758009556,38500,100,91.7767138327796,97.93290151826046,105.82802006735908,97.05172674665492,-2.9482732533450786,4
E02000179,Camden 014,E02000179,Camden 014,Adelaide Road,E09000007,Camden,U,1,46182.48126526291,44940.41548763909,50320.45841675881,41464.50381679389,46200,100,97.31052610514872,108.96005809590046,89.78405378141139,100.03793372347506,0.03793372347506363,5
E02000180,Camden 015,E02000180,Camden 015,Camden Road South,E09000007,Camden,U,1,37301.234868096966,39820.62131816122,39065.99029774179,40223.670784869886,41700,100,106.75416365965684,104.73109117133863,107.83468946030101,111.79254560192915,11.792545601929149,3
E02000181,Camden 016,E02000181,Camden 016,South Hampstead,E09000007,Camden,U,1,55655.81075557326,52335.67373244045,51943.699010847806,52321.79284612895,51100,100,94.03451862786793,93.3302350745942,94.00957804013224,91.81431247928224,-8.185687520717764,5
E02000182,Camden 017,E02000182,Camden 017,Swiss Cottage,E09000007,Camden,U,1,44998.31507897412,49491.34363828609,53458.72356533087,47978.87723439493,48000,100,109.98488177040961,118.80161173036888,106.62371946636178,106.6706607030903,6.670660703090306,5
E02000183,Camden 018,E02000183,Camden 018,Primrose Hill,E09000007,Camden,U,1,46774.56435840731,43802.68344997734,50753.322575182545,45704.016675867584,48200,100,93.64637394448377,108.50624323572153,97.71126102995483,103.0474589365929,3.0474589365929035,5
E02000184,Camden 019,E02000184,Camden 019,Camden Street & Elm Village,E09000007,Camden,U,1,33156.65321608619,35838.5591863451,36793.45346601719,38259.01848432354,35800,100,108.08859070540255,110.96853842946544,115.38866192249432,107.97229674143158,7.9722967414315775,2
E02000185,Camden 020,E02000185,Camden 020,Kilburn East,E09000007,Camden,U,1,35524.985588663774,34131.96112985247,36144.1572283816,35777.35242047553,35100,100,96.07874729369115,101.74291876395696,100.71039249595724,98.8036994762374,-1.196300523762602,3
