Year,income_rises,Average house price (£)
2010,Rest of London,430804.8992889407
2010,Rest of lowest 2012 income quintiles,215407.25485698858
2010,Biggest rises,254212.58931729745
2011,Biggest rises,255362.78379322382
2011,Rest of London,446086.0081090797
2011,Rest of lowest 2012 income quintiles,214756.91054720728
2012,Rest of London,463209.58154121815
2012,Rest of lowest 2012 income quintiles,224356.57702349866
2012,Biggest rises,284046.20442147594
2013,Rest of London,544783.1552060286
2013,Biggest rises,337893.5270329656
2013,Rest of lowest 2012 income quintiles,255285.78165847773
2014,Biggest rises,420120.83354649984
2014,Rest of London,628340.4465509821
2014,Rest of lowest 2012 income quintiles,294947.8327094056
2015,Rest of London,685987.1364179229
2015,Rest of lowest 2012 income quintiles,361374.33697700885
2015,Biggest rises,457441.3863826942
2016,Rest of London,736650.7250636141
2016,Rest of lowest 2012 income quintiles,398123.4164955223
2016,Biggest rises,564369.3685748645
2017,Rest of London,842556.5269754077
2017,Rest of lowest 2012 income quintiles,442964.0439677349
2017,Biggest rises,577266.1789990184
2018,Rest of London,857568.3508103283
2018,Rest of lowest 2012 income quintiles,462379.60046128253
2018,Biggest rises,700079.7860155408
2019,Rest of London,862410.2855876157
2019,Biggest rises,864120.5961165107
2019,Rest of lowest 2012 income quintiles,461231.22215737955
2020,Rest of London,894460.4334587113
2020,Biggest rises,700920.73230769
2020,Rest of lowest 2012 income quintiles,507821.86740757094
2021,Rest of London,821537.5631031053
2021,Rest of lowest 2012 income quintiles,502159.2292492955
2021,Biggest rises,893787.1571144528
2022,Biggest rises,722070.3573311755
2022,Rest of London,888685.1086528281
2022,Rest of lowest 2012 income quintiles,522745.3197430266
2023,Rest of London,871820.1029061378
2023,Biggest rises,675051.9276905801
2023,Rest of lowest 2012 income quintiles,527601.169315991
2024,Rest of London,767947.1670809773
2024,Biggest rises,596727.0144539606
2024,Rest of lowest 2012 income quintiles,436274.2481767955
