new_la_code,la_name,region_name,London_marker,applications_received_202425,applications_received_201415,admission_numbers_202425,admission_numbers_201415,gap_places_minus_applications_202425,gap_places_minus_applications_201415,applications_received_diff,applications_received_diff_PC
E09000001,City of London,Inner London,London,26,32,30,30,4,-2,-6,-18.75
E09000007,Camden,Inner London,London,1327,1761,1491,1718,164,-43,-434,-24.645088018171492
E09000011,Greenwich,Outer London,London,3037,3599,3757,3655,720,56,-562,-15.615448735759932
E09000012,Hackney,Inner London,London,1851,2849,2480,2936,629,87,-998,-35.029835029835034
E09000013,Hammersmith and Fulham,Inner London,London,1113,1564,1394,1618,281,54,-451,-28.836317135549873
E09000019,Islington,Inner London,London,1578,2080,2115,2213,537,133,-502,-24.134615384615383
E09000020,Kensington and Chelsea,Inner London,London,687,969,995,1050,308,81,-282,-29.102167182662537
E09000022,Lambeth,Inner London,London,2100,3189,2780,3189,680,0,-1089,-34.148635936030104
E09000023,Lewisham,Inner London,London,3043,3907,3500,3949,457,42,-864,-22.114154082416178
E09000028,Southwark,Inner London,London,2301,3343,3356,3680,1055,337,-1042,-31.169608136404424
E09000030,Tower Hamlets,Inner London,London,3000,3387,3480,3610,480,223,-387,-11.426040744021257
E09000032,Wandsworth,Inner London,London,2468,3223,2759,3132,291,-91,-755,-23.425380080670184
E09000033,Westminster,Inner London,London,963,1343,1338,1782,375,439,-380,-28.294862248696944
E09000002,Barking and Dagenham,Outer London,London,3238,3521,4074,3710,836,189,-283,-8.037489349616585
E09000003,Barnet,Outer London,London,3815,4290,4346,4342,531,52,-475,-11.072261072261073
E09000004,Bexley,Outer London,London,2766,3021,3253,3375,487,354,-255,-8.440913604766633
E09000005,Brent,Outer London,London,3398,3930,4047,4069,649,139,-532,-13.536895674300254
E09000006,Bromley,Outer London,London,3435,4112,4160,4267,725,155,-677,-16.464007782101167
E09000008,Croydon,Outer London,London,4470,4791,4950,5517,480,726,-321,-6.70006261740764
E09000009,Ealing,Outer London,London,3501,4503,4185,4800,684,297,-1002,-22.25183211192538
E09000010,Enfield,Outer London,London,3611,4461,4247,4854,636,393,-850,-19.054023761488455
E09000014,Haringey,Inner London,London,2352,3048,3176,3320,824,272,-696,-22.83464566929134
E09000015,Harrow,Outer London,London,2778,3196,3180,3300,402,104,-418,-13.078848560700877
E09000016,Havering,Outer London,London,3190,2873,3405,3260,215,387,317,11.033762617473025
E09000017,Hillingdon,Outer London,London,3357,3880,4260,4572,903,692,-523,-13.47938144329897
E09000018,Hounslow,Outer London,London,3103,3472,3316,3500,213,28,-369,-10.627880184331797
E09000021,Kingston upon Thames,Outer London,London,1562,1991,1668,2009,106,18,-429,-21.54696132596685
E09000024,Merton,Outer London,London,2153,2760,2260,2730,107,-30,-607,-21.992753623188406
E09000025,Newham,Inner London,London,3982,4694,5010,5365,1028,671,-712,-15.168299957392417
E09000026,Redbridge,Outer London,London,3614,3847,4321,4215,707,368,-233,-6.056667533142709
E09000027,Richmond upon Thames,Outer London,London,1865,2509,2298,2572,433,63,-644,-25.66759665205261
E09000029,Sutton,Outer London,London,2372,2650,2525,2552,153,-98,-278,-10.49056603773585
E09000031,Waltham Forest,Outer London,London,3117,3668,3731,3840,614,172,-551,-15.021810250817886
E08000025,Birmingham,West Midlands,not_border,12558,15025,15660,16054,3102,1029,-2467,-16.419301164725457
